Region,Case Number,Case Name,Case Type,City,State,Election Held Date,Number of Eligible Voters,Valid Votes Against,Votes for Labor Org 1,Labor Org 1 Name,"Stipulated
/ Consent
/ Directed",Certification of Representative Date (Win),Certification of Results Date (Loss),Case Closed Date,Closed Reason,Votes for Labor Org 2,Labor Org 2 Name,Union To Certify,Votes for Labor Org 3,Labor Org 3 Name,For Proposition,Against Proposition	,"Stipulated / Consent
/ Directed",Against Proposition,Dispute Unit City,Dispute Unit State,Num Eligible Voters,"Stipulated
/ Consent / Directed",Cert of Rep (Win),Cert of Results (Loss),Closed Date,Votes For Labor Org3,Labor Org3,Stipulated/Consent,Case ID,Stipulated / Consent / Directed
"05, 05 WDC",05-RC-328467,"Adventist HealthCare, Inc. and The Reginald S. Lourie Center for Infants and Young Children, Inc., d",RC,,,2024-07-10 00:00:00,,4.0,8.0,"1199SEIU United Healthcare Workers East a/w Service Employees International Union, SOC, CLC",,,,,Certific. of Representative,,,,,,,,,,Rockville,MD,16.0,,WON,,2024-07-29 00:00:00,,,,,Directed
"05, 05 WDC",05-RC-328554,"CMI Management, LLC",RC,,,2023-11-16 00:00:00,,1.0,0.0,"International Union of Operating Engineers, Local 99 a/w International Union of Operating Engineers, AFL-CIO",,,,,Certification of Results,,,,,,,,,,Quantico Base,VA,4.0,,,LOSS,2024-01-24 00:00:00,,,,,Stipulated
"05, 05 WDC",05-RC-329119,"Conversion Geeks, LLC",RC,,,2023-11-22 00:00:00,,0.0,8.0,"The Animation Guild and Affiliated Optical Electronic and Graphic Arts, Local 839 of the International Alliance of Theatrical Stage Employees and Moving Picture Technicians, Artists and Allied Crafts of the United States and Canada, AFL-CIO/CLC",,,,,Certific. of Representative,,,,,,,,,,Chesterfield,VA,11.0,,WON,,2023-12-21 00:00:00,,,,,Stipulated
"05, 05 WDC",05-RC-329384,ADC LTD NM,RC,,,2023-12-12 00:00:00,,0.0,8.0,"International Union, Security, Police and Fire Professionals of America ( SPFPA)",,,,,Certific. of Representative,,,,,,,,,,Boonsboro,MD,10.0,,WON,,2024-01-10 00:00:00,,,,,Stipulated
"05, 05 WDC",05-RC-329558,"EMCOR Government Services, Inc.",RC,,,2023-12-15 00:00:00,,0.0,3.0,"International Union of Operating Engineers, Local 99 a/w International Union of Operating Engineers, AFL-CIO",,,,,Certific. of Representative,,,,,,,,,,Alexandria,VA,4.0,,WON,,2024-01-23 00:00:00,,,,,Stipulated
"05, 05 WDC",05-RC-329587,"Amentum Services, Inc.",RC,,,2023-12-04 00:00:00,,0.0,3.0,"International Union of Operating Engineers, Local 99 a/w International Union of Operating Engineers, AFL-CIO",,,,,Certific. of Representative,,,,,,,,,,Springfield,VA,3.0,,WON,,2024-01-05 00:00:00,,,,,Stipulated
"05, 05 WDC",05-RC-329647,"CBRE, Inc.",RC,,,2023-12-14 00:00:00,,0.0,2.0,"International Union of Operating Engineers, Local 99 a/w International Union of Operating Engineers, AFL-CIO",,,,,Certific. of Representative,,,,,,,,,,Washington,DC,2.0,,WON,,2023-12-29 00:00:00,,,,,Stipulated
"05, 05 WDC",05-RC-330128,"Griffith Energy Services, Inc. d/b/a SMO Energy",RC,,,2023-12-20 00:00:00,,2.0,12.0,"Griffith Energy Services, Inc. d/b/a SMO",,,,,Certific. of Representative,,,,,,,,,,La Plata,MD,14.0,,WON,,2023-12-29 00:00:00,,,,,Stipulated
"05, 05 WDC",05-RC-330431,Costco Wholesale Corporation,RC,,,2023-12-20 00:00:00,,92.0,111.0,Teamsters Local No. 822 a/w International Brotherhood of Teamsters,,,,,Certific. of Representative,,,,,,,,,,Norfolk,VA,242.0,,WON,,2023-12-29 00:00:00,,,,,Stipulated
"05, 05 WDC",05-RC-331723,"MGM National Harbor, LLC",RC,,,2024-01-19 00:00:00,,4.0,46.0,"UNITE HERE Local 25, a/w UNITE HERE, AFL-CIO, CLC",,,,,Certific. of Representative,,,,,,,,,,Oxon Hill,MD,63.0,,WON,,2024-01-29 00:00:00,,,,,Stipulated
"05, 05 WDC",05-RC-331936,"Up-To-Date Laundry, LLC",RC,,,2024-01-24 00:00:00,,0.0,24.0,"International Brotherhood of Teamsters, Local 355",,,,,Certific. of Representative,,,,,,,,,,Baltimore,MD,27.0,,WON,,2024-02-01 00:00:00,,,,,Stipulated
"05, 05 WDC",05-RC-332021,disAbility Law Center of Virginia,RC,,,2024-01-16 00:00:00,,5.0,19.0,"National Organization of Legal Services Workers, UAW Local 2320 a/w United Automobile, Aerospace, and Agricultural Implement Workers of America, AFL-CIO",,,,,Certific. of Representative,,,,,,,,,,Richmond,VA,28.0,,WON,,2024-02-14 00:00:00,,,,,Stipulated
"05, 05 WDC",05-RC-332843,"FiscalNote, Inc. d/b/a CQ Roll Call",RC,,,2024-01-29 00:00:00,,3.0,41.0,"Washington-Baltimore News Guild, Local 32035 a/w The News Guild, Communications Workers of America, AFL-CIO, CLC",,,,,Certific. of Representative,,,,,,,,,,Washington,DC,50.0,,WON,,2024-02-28 00:00:00,,,,,Stipulated
"05, 05 WDC",05-RC-333552,"Spartannash Associates, LLC",RC,,,2024-02-23 00:00:00,,5.0,4.0,"Teamsters Local Union No. 822, a/w International Brotherhood of Teamsters",,,,,Certification of Results,,,,,,,,,,Norfolk,VA,9.0,,,LOSS,2024-03-04 00:00:00,,,,,Stipulated
"05, 05 WDC",05-RC-333642,"Wells Fargo Bank, N.A.",RC,,,2024-02-08 00:00:00,,0.0,7.0,"Wells Fargo Workers United, affiliated with Communication Workers of America, AFL-CIO",,,,,Certific. of Representative,,,,,,,,,,Virginia Beach,VA,7.0,,WON,,2024-02-16 00:00:00,,,,,Stipulated
"05, 05 WDC",05-RC-333659,"Mary's Center for Maternal and Child Care, Inc.",RC,,,2024-02-21 00:00:00,,22.0,93.0,"1199SEIU United Healthcare Workers East a/w Service Employees International Union, SOC, CLC",,,,,Certific. of Representative,,,,,,,,,,Washington,DC,145.0,,WON,,2024-03-25 00:00:00,,,,,Directed
"05, 05 WDC",05-RC-333772,"LMS Wellness, Benefit LLC d/b/a Health for Life White Marsh",RC,,,2024-02-23 00:00:00,,4.0,17.0,"United Food and Commercial Workers Union, Local 27 a/w The United Food and Commercial Workers International Union, AFL-CIO, CLC",,,,,Certific. of Representative,,,,,,,,,,Nottingham,MD,23.0,,WON,,2024-03-04 00:00:00,,,,,Stipulated
"05, 05 WDC",05-RC-334952,"Maryland Alternative Relief, LLC d/b/a Green Goods Cannabis Dispensary/Ethos Cannabis",RC,,,2024-02-29 00:00:00,,0.0,7.0,"United Food and Commercial Workers Local 400 a/w United Food and Commercial Workers International Union, AFL-CIO",,,,,Certific. of Representative,,,,,,,,,,Rockville,MD,10.0,,WON,,2024-03-11 00:00:00,,,,,Stipulated
"05, 05 WDC",05-RC-335178,"Barbizon Capitol, Inc.",RC,,,2024-02-26 00:00:00,,0.0,4.0,"International Alliance of Theatrical and Stage Employees, Moving Picture Technicians, Artists and Allied Crafts Local 22, a/w International Alliance of Theatrical and Stage Employees, Moving Picture Technicians, Artists and Allied Crafts, United States, its Territories, and Canada, AFL-CIO, CLC",,,,,Certific. of Representative,,,,,,,,,,Alexandria,VA,4.0,,WON,,2024-03-05 00:00:00,,,,,Stipulated
"05, 05 WDC",05-RC-335517,"Transdev Services, Inc.",RC,,,2024-03-22 00:00:00,,1.0,102.0,"Amalgamated Transit Union Local 689, AFL-CIO, a/w Amalgamated Transit Union, AFL-CIO, CLC",,,,,Certific. of Representative,,,,,,,,,,Arlington,VA,161.0,,WON,,2024-04-01 00:00:00,,,,,Stipulated
"05, 05 WDC",05-RC-335724,International Brotherhood of Teamsters,RC,,,2024-02-29 00:00:00,,16.0,12.0,"Washington-Baltimore News Guild, Local 32035 a/w The News Guild, Communications Workers of America, AFL-CIO, CLC",,,,,Certification of Results,,,,,,,,,,Washington,DC,34.0,,,LOSS,2024-03-29 00:00:00,,,,,Stipulated
"05, 05 WDC",05-RC-336059,"GreenMart of Maryland, LLC d/b/a Health For Life Baltimore",RC,,,2024-03-22 00:00:00,,0.0,16.0,"United Food and Commercial Workers Union, Local 27 a/w The United Food and Commercial Workers International Union, AFL-CIO, CLC",,,,,Certific. of Representative,,,,,,,,,,Baltimore,MD,20.0,,WON,,2024-04-01 00:00:00,,,,,Stipulated
"05, 05 WDC",05-RC-338150,Starbucks Corporation,RC,,,2024-04-18 00:00:00,,2.0,21.0,"Mid-Atlantic Regional Joint Board, Workers United a/w Service Employees International Union",,,,,Certific. of Representative,,,,,,,,,,Ellicott City,MD,28.0,,WON,,2024-04-26 00:00:00,,,,,Stipulated
"05, 05 WDC",05-RC-338186,Starbucks Corporation,RC,,,2024-04-16 00:00:00,,0.0,14.0,"Mid-Atlantic Regional Joint Board, Workers United a/w Service Employees International Union",,,,,Certific. of Representative,,,,,,,,,,Springfield,VA,16.0,,WON,,2024-04-24 00:00:00,,,,,Stipulated
"05, 05 WDC",05-RC-338505,Georgetown University,RC,,,2024-04-16 00:00:00,,3.0,79.0,"Office & Professional Employees International Union Local 153, AFL-CIO",,,,,Certific. of Representative,,,,,,,,,,Washington,DC,102.0,,WON,,2024-04-24 00:00:00,,,,,Stipulated
"05, 05 WDC",05-RC-338624,DC Central Kitchen Inc.,RC,,,2024-05-06 00:00:00,,26.0,7.0,"Drivers, Chauffeurs and Helpers, Local Union No. 639 affiliated with the International Brotherhood of Teamsters",,,,,Certification of Results,,,,,,,,,,Washington,DC,100.0,,,LOSS,2024-06-05 00:00:00,,,,,Stipulated
"05, 05 WDC",05-RC-338902,"Capital City Public Charter School, Inc.",RC,,,2024-05-02 00:00:00,,34.0,140.0,"District of Columbia Alliance of Charter Teachers and Staff, Local 1927, AFT, AFL-CIO",,,,,Certific. of Representative,,,,,,,,,,Washington,DC,207.0,,WON,,2024-05-10 00:00:00,,,,,Stipulated
"05, 05 WDC",05-RC-339190,FM DC Care Properties LLC d/b/a Livingston Place at Southern Avenue,RC,,,2024-04-23 00:00:00,,0.0,43.0,"1199SEIU United Healthcare Workers East a/w Service Employees International Union, SOC, CLC",,,,,Certific. of Representative,,,,,,,,,,Washington,DC,62.0,,WON,,2024-05-01 00:00:00,,,,,Stipulated
"05, 05 WDC",05-RC-339272,"CDA, Inc. d/b/a MaxSent",RC,,,2024-04-24 00:00:00,,0.0,0.0,"International Union, Security, Police and Fire Professionals of America (SPFPA)",,,,,Certification of Results,,,,,,,,,,Arlington,VA,3.0,,,LOSS,2024-05-23 00:00:00,,,,,Stipulated
"05, 05 WDC",05-RC-339296,"Kerberos International, Inc.",RC,,,2024-04-24 00:00:00,,0.0,1.0,"International Union, Security, Police and Fire Professionals of America (SPFPA)",,,,,Certific. of Representative,,,,,,,,,,Arlington,VA,8.0,,WON,,2024-05-23 00:00:00,,,,,Stipulated
"05, 05 WDC",05-RC-339363,District of Columbia International School,RC,,,2024-05-06 00:00:00,,59.0,132.0,"District of Columbia Alliance of Charter Teachers and Staff, Local 1927, AFT, AFL-CIO",,,,,Certific. of Representative,,,,,,,,,,Washington,DC,230.0,,WON,,2024-05-14 00:00:00,,,,,Stipulated
"05, 05 WDC",05-RC-339397,"Goodwin & Associates, Inc.",RC,,,2024-05-07 00:00:00,,1.0,6.0,General Teamsters and Allied Workers Local Union No. 992 a/w International Brotherhood of Teamsters,,,,,Certific. of Representative,,,,,,,,,,Frederick,MD,13.0,,WON,,2024-06-13 00:00:00,,,,,Stipulated
"05, 05 WDC",05-RC-339801,1199SEIU United Healthcare Workers East,RC,,,2024-05-17 00:00:00,,26.0,121.0,"Washington-Baltimore News Guild, Local 32035 a/w The News Guild, Communications Workers of America, AFL-CIO, CLC",,,,,Certific. of Representative,,,,,,,,,,Baltimore,MD,229.0,,WON,,2024-06-25 00:00:00,,,,,Stipulated
"05, 05 WDC",05-RC-339999,Baltimore Gas and Electric Company,RC,,,2024-05-08 00:00:00,,7.0,10.0,"International Brotherhood of Electrical Workers, Local 410, AFL-CIO",,,,,Certific. of Representative,,,,,,,,,,Baltimore,MD,17.0,,WON,,2024-05-16 00:00:00,,,,,Stipulated
"05, 05 WDC",05-RC-340119,"Sightline Media Group, LLC",RC,,,2024-05-06 00:00:00,,0.0,17.0,"Washington-Baltimore News Guild, Local 32035 a/w The News Guild – Communications Workers of America, AFL-CIO, CLC",,,,,Certific. of Representative,,,,,,,,,,Arlington,VA,25.0,,WON,,2024-06-11 00:00:00,,,,,Stipulated
"05, 05 WDC",05-RC-340357,"Ascend Wellness Holdings, LLC",RC,,,2024-05-29 00:00:00,,2.0,30.0,"Warehouse, General Sales Drivers, Dairy, Bakery, Brewery, Soft Drink, Professional and Technical, Laundry, Linen and Allied Employees, Teamsters Local Union No. 570 a/w International Brotherhood of Teamsters",,,,,Certific. of Representative,,,,,,,,,,Aberdeen,MD,38.0,,WON,,2024-06-06 00:00:00,,,,,Stipulated
"05, 05 WDC",05-RC-341134,The American University,RC,,,2024-05-22 00:00:00,,19.0,55.0,"Service Employees International Union, Local 500 a/w Service Employees International Union, SOC, CLC",,,,,Certific. of Representative,,,,,,,,,,Washington,DC,179.0,,WON,,2024-06-21 00:00:00,,,,,Stipulated
"05, 05 WDC",05-RC-341219,"Paragon Systems, Inc.",RC,,,2024-05-23 00:00:00,,0.0,13.0,"International Union, Security, Police and Fire Professionals of America (SPFFPA)",,,,,Certific. of Representative,,,,,,,,,,Washington,DC,23.0,,WON,,2024-07-02 00:00:00,,,,,Stipulated
"05, 05 WDC",05-RC-341837,Glenstone Foundation,RC,,,2024-06-06 00:00:00,,27.0,53.0,"Drivers, Chauffeurs and Helpers, Local Union No. 639 a/w International Brotherhood of Teamsters",,,,,Certific. of Representative,,,,,,,,,,Potomac,MD,89.0,,WON,,2024-06-18 00:00:00,,,,,Stipulated
"05, 05 WDC",05-RC-342147,"Lewes Fire Department, Inc.",RC,,,2024-06-11 00:00:00,,0.0,19.0,General Teamsters Local 326 a/w International Brotherhood of Teamsters,,,,,Certific. of Representative,,,,,,,,,,Lewes,DE,22.0,,WON,,2024-06-20 00:00:00,,,,,Stipulated
"05, 05 WDC",05-RC-342160,"Universal Protection Service, LLC d/b/a Allied Universal Security Services",RC,,,2024-06-04 00:00:00,,1.0,5.0,United Government Security Officers of America International Union and United Government Security Officers of America Local 259 a/w United Government Security Officers of America International Union,,,,,Certific. of Representative,,,,,,,,,,Washington,DC,10.0,,WON,,2024-06-12 00:00:00,,,,,Stipulated
"05, 05 WDC",05-RC-342278,"Kerberos International, Inc.",RC,,,2024-06-10 00:00:00,,0.0,3.0,"International Union, Security, Police and Fire Professionals of America (SPFPA)",,,,,Certific. of Representative,,,,,,,,,,Arlington,VA,5.0,,WON,,2024-07-10 00:00:00,,,,,Stipulated
"05, 05 WDC",05-RC-342866,"Bioenergy Devco, LLC",RC,,,2024-06-12 00:00:00,,12.0,0.0,Brotherhood of Maintenance of Way Employes Division of the International Brotherhood of Teamsters,,,,,Certification of Results,,,,,,,,,,Jessup,MD,13.0,,,LOSS,2024-06-21 00:00:00,,,,,Stipulated
"05, 05 WDC",05-RC-342916,"Spectrum Management, LLC",RC,,,2024-06-21 00:00:00,,1.0,1.0,"International Union of Operating Engineers, Local 99 a/w International Union of Operating Engineers, AFL-CIO",,,,,Certification of Results,,,,,,,,,,Washington,DC,3.0,,,LOSS,2024-07-22 00:00:00,,,,,Stipulated
"05, 05 WDC",05-RC-343053,"Marriott Hotel Services, LLC d/b/a Gaylord National Resort & Convention Center",RC,,,2024-06-12 00:00:00,,0.0,8.0,"UNITE HERE Local 25, a/w UNITE HERE, AFL-CIO, CLC",,,,,Certific. of Representative,,,,,,,,,,National Harbor,MD,8.0,,WON,,2024-06-21 00:00:00,,,,,Stipulated
"05, 05 WDC",05-RC-343079,"Jones, Lang, LaSalle Americas, Inc.",RC,,,2024-06-20 00:00:00,,0.0,1.0,"International Union of Operating Engineers, Local 99, a/w International Union of Operating Engineers, AFL-CIO",,,,,Certific. of Representative,,,,,,,,,,Washington,DC,2.0,,WON,,2024-07-19 00:00:00,,,,,Stipulated
"05, 05 WDC",05-RC-343660,Starbucks Corporation,RC,,,2024-06-18 00:00:00,,4.0,3.0,"Mid-Atlantic Regional Joint Board, Workers United a/w Service Employees International Union",,,,,Certification of Results,,,,,,,,,,Riverdale Park,MD,11.0,,,LOSS,2024-06-27 00:00:00,,,,,Consent
"05, 05 WDC",05-RC-344100,"William H. Brady, Inc.",RC,,,2024-07-09 00:00:00,,9.0,7.0,"Sheet Metal Air Rail and Transportation Workers (SMART) Local 100 a/w International Association of Sheet Metal, Air, Rail and Transportation Workers, AFL-CIO, CLC",,,,,Certification of Results,,,,,,,,,,Elkton,MD,16.0,,,LOSS,2024-07-17 00:00:00,,,,,Stipulated
"05, 05 WDC",05-RC-344589,"Herc Rentals, Inc.",RC,,,2024-07-18 00:00:00,,0.0,7.0,"Drivers, Chauffeurs and Helpers, Local Union No. 639 a/w International Brotherhood of Teamsters",,,,,Certific. of Representative,,,,,,,,,,Upper Marlboro,MD,7.0,,WON,,2024-07-26 00:00:00,,,,,Stipulated
"05, 05 WDC",05-RC-345680,"GTI Pennsylvania, LLC d/b/a RISE Dispensary",RC,,,2024-07-26 00:00:00,,2.0,8.0,"Chauffeurs, Teamsters and Helpers Teamsters Local Union No. 776, a/w International Brotherhood of Teamsters",,,,,Certific. of Representative,,,,,,,,,,York,PA,10.0,,WON,,2024-08-02 00:00:00,,,,,Stipulated
"05, 05 WDC",05-RC-346218,"Hyatt Corporation, as agent of Airport Plaza Hotel, LLC, a Delaware limited liability company d/b/a",RC,,,2024-08-16 00:00:00,,11.0,24.0,"UNITE HERE Local 25 a/w UNITE HERE, AFL-CIO, CLC",,,,,Certific. of Representative,,,,,,,,,,Arlington,VA,38.0,,WON,,2024-08-26 00:00:00,,,,,Stipulated
"05, 05 WDC",05-RC-346413,Unity Health Care Inc.,RC,,,2024-08-21 00:00:00,,9.0,123.0,"Metropolitan District 1199DC, National Union of Hospital and Health Care Employees a/w American Federation of State, County and Municipal Employees, AFL-CIO",,,,,Certific. of Representative,,,,,,,,,,Washington,DC,217.0,,WON,,2024-09-26 00:00:00,,,,,Stipulated
"05, 05 WDC",05-RC-347394,"Securemedy, Inc.",RC,,,2024-08-28 00:00:00,,0.0,1.0,National Capital Union for Security Officers (NCUFSO),,,,,Certific. of Representative,,,,,,,,,,Washington,DC,7.0,,WON,,2024-09-26 00:00:00,,,,,Stipulated
"05, 05 WDC",05-RC-347649,National Alliance of State & Territorial AIDS Directors d/b/a NASTAD,RC,,,2024-08-20 00:00:00,,3.0,26.0,"Washington-Baltimore News Guild, Local 32035 a/w The News Guild, Communications Workers of America, AFL-CIO, CLC",,,,,Certific. of Representative,,,,,,,,,,Washington,DC,40.0,,WON,,2024-09-18 00:00:00,,,,,Stipulated
"05, 05 WDC",05-RC-348073,"TerrAscend USA, Services, LLC",RC,,,2024-09-11 00:00:00,,0.0,7.0,"United Food and Commercial Workers Local 400 a/w United Food and Commercial Workers International Union, AFL-CIO",,,,,Certific. of Representative,,,,,,,,,,Burtonsville,MD,10.0,,WON,,2024-09-19 00:00:00,,,,,Stipulated
"05, 05 WDC",05-RC-348136,B1 Earthgroup LLC d/b/a Sweetspot Cannabis Dispensary Olney,RC,,,2024-09-13 00:00:00,,1.0,9.0,"United Food and Commercial Workers Union, Local 400 a/w United Food and Commercial Workers International Union, AFL-CIO, CLC",,,,,Certific. of Representative,,,,,,,,,,Olney,MD,14.0,,WON,,2024-09-23 00:00:00,,,,,Stipulated
"05, 05 WDC",05-RC-348427,"Keolis Transit Services, LLC, a subsidiary of Keolis Transit America",RC,,,2024-09-04 00:00:00,,0.0,1.0,"Amalgamated Transit Union Local 689 a/w Amalgamated Transit Union, AFL-CIO",,,,,Certific. of Representative,,,,,,,,,,Leesburg,VA,2.0,,WON,,2024-09-12 00:00:00,,,,,Stipulated
"05, 05 WDC",05-RC-349034,"Marriott Hotel Services, LLC d/b/a Gaylord National Resort & Convention Center",RC,,,2024-09-18 00:00:00,,6.0,1.0,"UNITE HERE Local 25, A/W UNITE HERE, AFL-CIO, CLC",,,,,Certification of Results,,,,,,,,,,National Harbor,MD,7.0,,,LOSS,2024-09-27 00:00:00,,,,,Stipulated
"05, 05 WDC",05-RD-330321,"Koppers, Inc.",RD,,,2023-12-13 00:00:00,,9.0,5.0,"United Steel, Paper and Forestry, Rubber, Manufacturing, Energy, Allied Industrial and Service Workers International Union, AFL-CIO-CLC, Local 14187-01",,,,,Certification of Results,,,,,,,,,,Newsoms,VA,15.0,,,LOSS,2023-12-21 00:00:00,,,,,Stipulated
"05, 05 WDC",05-RD-340374,Emporia Operating LLC d/b/a Emporia Rehabilitation and Healthcare Center,RD,,,2024-05-16 00:00:00,,3.0,33.0,"Workers United, Mid-Atlantic Regional Joint Board a/w Service Employees International Union, SOC, CLC",,,,,Certific. of Representative,,,,,,,,,,Emporia,VA,63.0,,WON,,2024-07-25 00:00:00,,,,,Stipulated
"05, 05 WDC",05-RD-341247,Association of Community College Trustees,RD,,,2024-05-21 00:00:00,,4.0,6.0,"Office and Professional Employees International Union, AFL-CIO, Local 2",,,,,Certific. of Representative,,,,,,,,,,Washington,DC,10.0,,WON,,2024-06-24 00:00:00,,,,,Stipulated
"05, 05 WDC",05-RD-341761,Motor Truck Equipment Company,RD,,,2024-06-11 00:00:00,,25.0,18.0,"International Association of Machinists and Aerospace Workers, District Lodge #98 and its Local Lodge #2058",,,,,Certification of Results,,,,,,,,,,Carlisle,PA,43.0,,,LOSS,2024-06-20 00:00:00,,,,,Stipulated
"05, 05 WDC",05-RM-327678,"UPS Cartage Services, Inc.",RM,,,2023-11-15 00:00:00,,1.0,3.0,"International Brotherhood of Teamsters, Local 592 a/w International Brotherhood of Teamsters",,,,,Certific. of Representative,,,,,,,,,,Richmond,VA,5.0,,WON,,2023-11-24 00:00:00,,,,,Stipulated
"05, 05 WDC",05-RM-327956,"Drummac, Inc.",RM,,,2023-11-15 00:00:00,,6.0,18.0,"Transportation Communications Union a/w International Association of Machinists and Aerospace Workers, AFL-CIO, CLC",,,,,Certific. of Representative,,,,,,,,,,Lorton,VA,36.0,,WON,,2023-11-24 00:00:00,,,,,Stipulated
"05, 05 WDC",05-RM-329280,Maryland and Virginia Milk Producers Business Trust,RM,,,2023-11-29 00:00:00,,1.0,5.0,Teamsters Local Union 639 a/w The International Brotherhood of Teamsters,,,,,Certific. of Representative,,,,,,,,,,Laurel,MD,6.0,,WON,,2023-12-07 00:00:00,,,,,Stipulated
"05, 05 WDC",05-RM-329412,"MGM National Harbor, LLC",RM,,,2023-12-08 00:00:00,,1.0,23.0,"UNITE HERE Local 25, a/w UNITE HERE, AFL-CIO, CLC",,,,,Certific. of Representative,,,,,,,,,,Oxon Hill,MD,31.0,,WON,,2023-12-18 00:00:00,,,,,Stipulated
"05, 05 WDC",05-RM-332461,"Neal R. Gross & Co., Inc.",RM,,,2024-01-26 00:00:00,,1.0,16.0,Court Reporters United,,,,,Certific. of Representative,,,,,,,,,,Washington,DC,18.0,,WON,,2024-02-05 00:00:00,,,,,Stipulated
"05, 05 WDC",05-RM-334746,Hines GS Properties LLC,RM,,,2024-02-21 00:00:00,,3.0,5.0,"International Union of Operating Engineers, Local 99 a/w International Union of Operating Engineers, AFL-CIO",,,,,Certific. of Representative,,,,,,,,,,Washington,DC,8.0,,WON,,2024-02-29 00:00:00,,,,,Stipulated
"05, 05 WDC",05-RM-341679,"Truetimber Arborists, LLC",RM,,,2024-05-30 00:00:00,,5.0,23.0,"International Association of Machinists and Aerospace Workers, AFL-CIO",,,,,Certific. of Representative,,,,,,,,,,Richmond,VA,35.0,,WON,,2024-06-07 00:00:00,,,,,Stipulated
"05, 05 WDC",05-RM-342035,"University of Maryland Medical Center, LLC and Maryland General Hospital, Inc. d/b/a University of M",RM,,,2024-06-12 00:00:00,,19.0,628.0,"University of Maryland Resident and Fellow Alliance, AFT-Maryland, a/w American Federation of Teachers, AFL-CIO",,,,,Certific. of Representative,,,,,,,,,,Baltimore,MD,947.0,,WON,,2024-06-25 00:00:00,,,,,Stipulated
"05, 05 WDC",05-RM-343774,Imperial Stone Paving Corporation,RM,,,2024-07-12 00:00:00,,34.0,1.0,"Bricklayers & Allied Craftworkers Local #1 of MD, VA & DC, AFL-CIO",,,,,Certification of Results,,,,,,,,,,Elkridge,MD,45.0,,,LOSS,2024-07-22 00:00:00,,,,,Stipulated
"05, 05 WDC",05-RM-343825,"Sinclair Television Stations, LLC d/b/a WJLA TV",RM,,,2024-07-17 00:00:00,,1.0,6.0,"National Association of Broadcast Employees & Technicians, AFL-CIO, CLC",,,,,Certific. of Representative,,,,,,,,,,Arlington,VA,7.0,,WON,,2024-07-25 00:00:00,,,,,Stipulated
06,06-RC-309868,Hello Neighbor,RC,,,2023-02-15 00:00:00,,9.0,6.0,"UNITED STEEL, PAPER AND FORESTRY, RUBBER, MANUFACTURING, ENERGY, ALLIED INDUSTRIAL AND SERVICE WORKERS INTERNATIONAL UNION, AFL-CIO/CLC",,,,,Certification of Results,,,,,,,,,,Pittsburgh,PA,22.0,,,LOSS,2024-07-12 00:00:00,,,,,Stipulated
06,06-RC-312789,Starbucks Corporation,RC,,,2023-03-31 00:00:00,,8.0,6.0,Workers United,,,,,Certification of Results,,,,,,,,,,Sutton,WV,17.0,,,LOSS,2024-05-03 00:00:00,,,,,Stipulated
06,06-RC-324638,"Bedford Rural Electric Cooperative, Inc.",RC,,,2023-10-17 00:00:00,,0.0,13.0,Bedford Rural Electric Independent Union,,,,,Certific. of Representative,,,,,,,,,,Bedford,PA,0.0,,WON,,2023-10-25 00:00:00,,,,,Stipulated
06,06-RC-325794,"Gold Star Foods, Inc.",RC,,,2023-10-23 00:00:00,,11.0,7.0,"Teamsters, Chauffeurs, Warehousemen and Helpers of America, Local Union No. 110 a/w International Brotherhood of Teamsters",,,,,Certification of Results,,,,,,,,,,Huntingdon,PA,19.0,,,LOSS,2023-10-31 00:00:00,,,,,Stipulated
06,06-RC-327786,Western Pennsylvania School for the Deaf,RC,,,2023-11-21 00:00:00,,48.0,47.0,Pennsylvania State Education Association,,,,,Certification of Results,,,,,,,,,,Pittsburgh,PA,102.0,,,LOSS,2023-12-01 00:00:00,,,,,Stipulated
06,06-RC-328593,"Lincare Holdings, Inc.",RC,,,2023-12-15 00:00:00,,4.0,3.0,"Teamsters, Chauffeurs, Warehousemen & Helpers Local 697, a/w International Brotherhood of Teamsters",,,,,Certification of Results,,,,,,,,,,Wheeling,WV,7.0,,,LOSS,2023-12-26 00:00:00,,,,,Stipulated
06,06-RC-330379,"Coca-Cola Consolidated, Inc",RC,,,2023-12-20 00:00:00,,10.0,23.0,"Chauffeurs, Teamsters and Helpers Local Union No. 175",,,,,Certific. of Representative,,,,,,,,,,Beckley,WV,33.0,,WON,,2023-12-29 00:00:00,,,,,Stipulated
06,06-RC-330738,Suburban Propane,RC,,,2023-12-22 00:00:00,,12.0,3.0,Teamsters Local No. 205 a/w International Brotherhood of Teamsters,,,,,Certification of Results,,,,,,,,,,Greensburg,PA,16.0,,,LOSS,2024-01-03 00:00:00,,,,,Stipulated
06,06-RC-331780,"Peoples Natural Gas Company, LLC",RC,,,2024-01-12 00:00:00,,2.0,13.0,"Utility Workers Union of America, AFL-CIO, Local 612",,,,,Certific. of Representative,,,,,,,,,,Pittsburgh,PA,16.0,,WON,,2024-02-06 00:00:00,,,,,Stipulated
06,06-RC-332320,Starbucks Corporation,RC,,,2024-01-26 00:00:00,,12.0,5.0,Workers United a/w SEIU,,,,,Certification of Results,,,,,,,,,,Meadville,PA,19.0,,,LOSS,2024-02-05 00:00:00,,,,,Stipulated
